date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,46.66,265.785,643.794,48.166,463.516,1467.922
1991,46.66,262.896,634.365,48.233,453.012,1445.167
1992,46.66,260.007,624.936,48.3,442.508,1422.413
1993,46.66,257.119,615.507,48.368,432.004,1399.659
1994,46.66,254.23,606.078,48.435,421.501,1376.904
1995,46.66,251.341,596.649,48.503,410.997,1354.15
1996,46.66,248.452,587.22,48.57,400.493,1331.396
1997,46.66,245.563,577.791,48.638,389.989,1308.642
1998,46.66,242.675,568.362,48.705,379.485,1285.887
1999,46.66,239.786,558.933,48.772,368.982,1263.133
2000,46.66,236.897,549.504,48.84,358.478,1240.379
2001,46.66,242.153,543.545,48.588,350.25,1231.197
2002,46.66,247.409,537.587,48.337,342.022,1222.015
2003,46.66,252.664,531.628,48.086,333.794,1212.833
2004,46.66,257.92,525.67,47.834,325.566,1203.651
2005,46.66,263.176,519.711,47.583,317.338,1194.469
2006,46.66,259.178,501.635,47.315,311.412,1166.201
2007,46.66,255.18,483.559,47.047,305.486,1137.932
2008,46.66,251.182,465.483,46.779,299.56,1109.664
2009,46.66,247.184,447.407,46.511,293.633,1081.396
2010,46.66,243.186,429.331,46.243,287.707,1053.128
2011,46.66,238.987,423.263,44.871,280.778,1034.559
2012,46.66,234.788,417.194,43.499,273.849,1015.99
2013,46.66,230.589,411.125,42.126,266.92,997.421
2014,46.66,226.39,405.056,40.754,259.991,978.852
2015,46.66,222.191,398.987,39.382,253.062,960.283
2016,46.66,240.346,402.67,39.39,243.488,972.555
2017,46.66,258.501,406.353,39.398,233.914,984.827
2018,46.66,276.657,410.036,39.406,224.34,997.099
2019,46.66,294.812,413.719,39.414,214.765,1009.371
2020,46.66,312.967,417.402,39.421,205.191,1021.643
