date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,48.778,118.047,1114.789,54.621,843.785,2180.02
1991,48.778,115.328,1095.451,54.604,821.533,2135.696
1992,48.778,112.61,1076.114,54.588,799.281,2091.371
1993,48.778,109.892,1056.776,54.571,777.029,2047.046
1994,48.778,107.173,1037.438,54.554,754.777,2002.721
1995,48.778,104.455,1018.101,54.537,732.525,1958.396
1996,48.778,101.736,998.763,54.52,710.273,1914.071
1997,48.778,99.018,979.426,54.503,688.021,1869.746
1998,48.778,96.299,960.088,54.486,665.769,1825.421
1999,48.778,93.581,940.75,54.469,643.517,1781.096
2000,48.778,90.862,921.413,54.452,621.265,1736.771
2001,48.778,91.029,906.268,54.159,605.539,1705.773
2002,48.778,91.196,891.123,53.865,589.812,1674.775
2003,48.778,91.362,875.978,53.572,574.086,1643.776
2004,48.778,91.529,860.834,53.278,558.359,1612.778
2005,48.778,91.696,845.689,52.984,542.632,1581.78
2006,48.778,91.414,822.281,52.658,532.362,1547.493
2007,48.778,91.132,798.873,52.332,522.091,1513.206
2008,48.778,90.851,775.465,52.005,511.82,1478.919
2009,48.778,90.569,752.057,51.679,501.55,1444.632
2010,48.778,90.287,728.649,51.352,491.279,1410.346
2011,48.778,88.831,718.027,49.866,478.791,1384.294
2012,48.778,87.374,707.406,48.381,466.302,1358.242
2013,48.778,85.918,696.785,46.895,453.814,1332.191
2014,48.778,84.462,686.164,45.41,441.326,1306.14
2015,48.778,83.005,675.543,43.924,428.837,1280.088
2016,48.778,89.135,681.006,46.489,411.887,1277.295
2017,48.778,95.266,686.469,49.053,394.937,1274.503
2018,48.778,101.396,691.933,51.617,377.986,1271.71
2019,48.778,107.526,697.396,54.181,361.036,1268.917
2020,48.778,113.656,702.859,56.746,344.085,1266.125
