date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,1549.524,8490.342,18556.402,2179.189,12738.16,43513.617
1991,1549.524,8354.453,17966.066,2191.32,12263.457,42324.82
1992,1549.524,8218.564,17375.729,2203.451,11788.753,41136.023
1993,1549.524,8082.676,16785.393,2215.582,11314.05,39947.223
1994,1549.524,7946.787,16195.056,2227.712,10839.346,38758.426
1995,1549.524,7810.898,15604.72,2239.843,10364.643,37569.63
1996,1549.524,7675.01,15014.383,2251.974,9889.938,36380.83
1997,1549.524,7539.121,14424.047,2264.105,9415.235,35192.03
1998,1549.524,7403.232,13833.71,2276.236,8940.531,34003.234
1999,1549.524,7267.343,13243.374,2288.367,8465.828,32814.438
2000,1549.524,7131.455,12653.037,2300.498,7991.125,31625.639
2001,1549.524,7268.322,12565.406,2295.656,7813.085,31491.994
2002,1549.524,7405.191,12477.775,2290.814,7635.045,31358.35
2003,1549.524,7542.059,12390.144,2285.973,7457.005,31224.703
2004,1549.524,7678.926,12302.513,2281.132,7278.965,31091.059
2005,1549.524,7815.795,12214.882,2276.29,7100.925,30957.414
2006,1549.524,7752.747,11999.799,2256.698,7165.846,30724.615
2007,1549.524,7689.698,11784.716,2237.106,7230.769,30491.81
2008,1549.524,7626.65,11569.634,2217.515,7295.69,30259.014
2009,1549.524,7563.602,11354.551,2197.923,7360.612,30026.215
2010,1549.524,7500.554,11139.468,2178.331,7425.534,29793.412
2011,1549.524,7428.717,11020.592,2112.125,7276.418,29388.758
2012,1549.524,7356.879,10901.716,2045.919,7127.302,28984.102
2013,1549.524,7285.042,10782.839,1979.713,6978.186,28579.45
2014,1549.524,7213.204,10663.963,1913.507,6829.07,28174.793
2015,1549.524,7141.366,10545.087,1847.301,6679.953,27770.14
2016,1549.524,7703.085,10662.045,1834.001,6441.027,28197.418
2017,1549.524,8264.804,10779.002,1820.701,6202.101,28624.695
2018,1549.524,8826.522,10895.96,1807.401,5963.175,29051.97
2019,1549.524,9388.24,11012.917,1794.101,5724.249,29479.244
2020,1549.524,9949.959,11129.875,1780.801,5485.323,29906.525
