date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,18.142,33.609,328.878,31.824,269.823,682.277
1991,18.142,33.54,324.952,31.766,266.711,675.111
1992,18.142,33.47,321.026,31.708,263.598,667.945
1993,18.142,33.401,317.101,31.65,260.486,660.78
1994,18.142,33.332,313.175,31.592,257.373,653.614
1995,18.142,33.263,309.249,31.534,254.26,646.448
1996,18.142,33.194,305.323,31.475,251.148,639.282
1997,18.142,33.124,301.397,31.417,248.035,632.116
1998,18.142,33.055,297.471,31.359,244.923,624.95
1999,18.142,32.986,293.546,31.301,241.81,617.784
2000,18.142,32.917,289.62,31.243,238.697,610.619
2001,18.142,32.796,279.427,31.065,230.705,592.134
2002,18.142,32.675,269.234,30.887,222.712,573.65
2003,18.142,32.554,259.041,30.71,214.719,555.165
2004,18.142,32.433,248.848,30.532,206.726,536.681
2005,18.142,32.312,238.655,30.354,198.734,518.196
2006,18.142,32.257,239.584,30.18,201.571,521.733
2007,18.142,32.202,240.512,30.005,204.409,525.269
2008,18.142,32.147,241.441,29.83,207.246,528.806
2009,18.142,32.092,242.37,29.655,210.084,532.342
2010,18.142,32.036,243.299,29.48,212.921,535.879
2011,18.202,37.304,235.228,28.665,203.774,523.175
2012,18.263,42.572,227.158,27.85,194.628,510.471
2013,18.324,47.84,219.087,27.035,185.481,497.766
2014,18.384,53.108,211.017,26.22,176.334,485.062
2015,18.445,58.376,202.946,25.405,167.187,472.358
2016,18.445,59.19,199.957,24.998,163.138,465.728
2017,18.445,60.005,196.968,24.59,159.09,459.097
2018,18.445,60.82,193.979,24.182,155.041,452.466
2019,18.445,61.635,190.99,23.774,150.993,445.836
2020,18.445,62.45,188.001,23.366,146.944,439.205
