date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,539.172,2972.727,6142.374,863.87,4896.815,15414.958
1991,539.172,2923.978,6079.557,859.307,4790.5,15192.512
1992,539.172,2875.229,6016.738,854.744,4684.184,14970.067
1993,539.172,2826.48,5953.92,850.18,4577.869,14747.621
1994,539.172,2777.731,5891.102,845.616,4471.553,14525.175
1995,539.172,2728.982,5828.284,841.053,4365.237,14302.728
1996,539.172,2680.233,5765.466,836.489,4258.922,14080.281
1997,539.172,2631.484,5702.648,831.926,4152.606,13857.835
1998,539.172,2582.735,5639.83,827.362,4046.291,13635.391
1999,539.172,2533.986,5577.012,822.799,3939.975,13412.943
2000,539.172,2485.237,5514.193,818.235,3833.66,13190.497
2001,539.172,2491.809,5502.686,812.882,3815.236,13161.784
2002,539.172,2498.38,5491.178,807.53,3796.812,13133.071
2003,539.172,2504.951,5479.67,802.178,3778.388,13104.359
2004,539.172,2511.522,5468.163,796.825,3759.965,13075.646
2005,539.172,2518.094,5456.655,791.472,3741.541,13046.934
2006,539.172,2492.14,5297.983,785.661,3634.24,12749.194
2007,539.172,2466.186,5139.31,779.849,3526.939,12451.455
2008,539.172,2440.232,4980.638,774.037,3419.638,12153.716
2009,539.172,2414.278,4821.965,768.225,3312.337,11855.977
2010,539.172,2388.324,4663.292,762.413,3205.036,11558.237
2011,539.172,2346.764,4683.374,742.773,3177.271,11489.354
2012,539.172,2305.204,4703.455,723.133,3149.506,11420.469
2013,539.172,2263.644,4723.536,703.492,3121.74,11351.585
2014,539.172,2222.084,4743.617,683.852,3093.975,11282.7
2015,539.172,2180.525,4763.698,664.212,3066.21,11213.816
2016,539.172,2352.567,4713.66,652.612,2905.734,11163.745
2017,539.172,2524.61,4663.622,641.012,2745.258,11113.673
2018,539.172,2696.652,4613.584,629.412,2584.782,11063.602
2019,539.172,2868.694,4563.546,617.812,2424.305,11013.529
2020,539.172,3040.737,4513.508,606.212,2263.829,10963.458
