date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,0.882,8.128,9.656,1.848,7.08,27.594
1991,0.882,8.017,9.595,1.875,6.97,27.339
1992,0.882,7.906,9.534,1.902,6.86,27.084
1993,0.882,7.795,9.472,1.929,6.75,26.828
1994,0.882,7.684,9.411,1.956,6.64,26.573
1995,0.882,7.573,9.35,1.983,6.53,26.318
1996,0.882,7.462,9.288,2.01,6.42,26.062
1997,0.882,7.351,9.227,2.037,6.309,25.807
1998,0.882,7.24,9.166,2.064,6.199,25.552
1999,0.882,7.129,9.105,2.091,6.089,25.297
2000,0.882,7.018,9.043,2.118,5.979,25.041
2001,0.882,7.056,9.023,2.107,5.935,25.003
2002,0.882,7.093,9.002,2.096,5.89,24.964
2003,0.882,7.131,8.982,2.085,5.846,24.926
2004,0.882,7.168,8.961,2.074,5.802,24.888
2005,0.882,7.206,8.94,2.063,5.758,24.849
2006,0.882,7.248,8.581,2.048,5.594,24.353
2007,0.882,7.289,8.221,2.033,5.431,23.857
2008,0.882,7.331,7.862,2.018,5.267,23.361
2009,0.882,7.373,7.502,2.003,5.104,22.864
2010,0.882,7.415,7.143,1.988,4.94,22.368
2011,0.882,7.416,7.036,1.932,4.818,22.084
2012,0.882,7.417,6.928,1.876,4.696,21.799
2013,0.882,7.418,6.821,1.819,4.574,21.515
2014,0.882,7.419,6.714,1.763,4.452,21.23
2015,0.882,7.42,6.607,1.707,4.33,20.946
2016,0.882,7.921,6.578,1.706,4.137,21.224
2017,0.882,8.421,6.549,1.705,3.945,21.502
2018,0.882,8.922,6.52,1.704,3.752,21.78
2019,0.882,9.422,6.491,1.702,3.559,22.057
2020,0.882,9.922,6.462,1.701,3.367,22.335
