date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,9042.451,51849.04,75110.3,23832.37,57382.348,217159.83
1991,9042.451,51466.215,74409.4,23374.389,56201.434,214440.81
1992,9042.451,51083.39,73708.5,22916.406,55020.52,211721.78
1993,9042.451,50700.566,73007.61,22458.426,53839.598,209002.73
1994,9042.451,50317.742,72306.71,22000.445,52658.676,206283.7
1995,9042.451,49934.918,71605.81,21542.465,51477.758,203564.67
1996,9042.451,49552.094,70904.914,21084.482,50296.84,200845.64
1997,9042.451,49169.27,70204.016,20626.502,49115.92,198126.61
1998,9042.451,48786.445,69503.125,20168.521,47935.0,195407.56
1999,9042.451,48403.62,68802.23,19710.54,46754.082,192688.53
2000,9042.451,48020.797,68101.33,19252.559,45573.164,189969.5
2001,9042.451,47684.754,67490.555,19082.89,44871.465,188155.78
2002,9042.451,47348.71,66879.78,18913.22,44169.77,186342.06
2003,9042.451,47012.664,66269.016,18743.553,43468.07,184528.34
2004,9042.451,46676.62,65658.24,18573.883,42766.375,182714.62
2005,9042.451,46340.58,65047.47,18404.215,42064.676,180900.9
2006,9042.451,46229.36,63577.445,18233.062,41457.027,178542.83
2007,9042.451,46118.14,62107.426,18061.908,40849.38,176184.75
2008,9042.451,46006.92,60637.402,17890.756,40241.727,173826.67
2009,9042.451,45895.703,59167.38,17719.602,39634.08,171468.6
2010,9042.451,45784.484,57697.355,17548.45,39026.43,169110.52
2011,9042.451,45130.94,57019.125,17218.363,38148.555,166570.17
2012,9042.451,44477.4,56340.895,16888.28,37270.68,164029.83
2013,9042.451,43823.855,55662.668,16558.195,36392.805,161489.5
2014,9042.451,43170.312,54984.44,16228.108,35514.93,158949.16
2015,9042.451,42516.77,54306.207,15898.024,34637.055,156408.81
2016,9042.451,45428.195,53999.97,15391.882,32966.387,156849.3
2017,9042.451,48339.62,53693.727,14885.737,31295.72,157289.77
2018,9042.451,51251.043,53387.484,14379.595,29625.057,157730.25
2019,9042.451,54162.47,53081.242,13873.453,27954.387,158170.72
2020,9042.451,57073.895,52775.0,13367.31,26283.72,158611.2
