date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,91569.555,723465.94,720489.06,253316.05,525728.5,2314068.5
1991,91569.555,715780.94,713027.6,248374.4,515256.22,2283578.0
1992,91569.555,708095.94,705566.2,243432.73,504783.94,2253087.2
1993,91569.555,700410.94,698104.75,238491.06,494311.62,2222596.8
1994,91569.555,692725.94,690643.3,233549.42,483839.34,2192106.0
1995,91569.555,685040.94,683181.9,228607.75,473367.03,2161615.5
1996,91569.555,677355.94,675720.4,223666.08,462894.78,2131125.0
1997,91569.555,669670.94,668258.94,218724.42,452422.5,2100634.2
1998,91569.555,661985.94,660797.5,213782.77,441950.22,2070143.8
1999,91569.555,654300.94,653336.06,208841.1,431477.9,2039653.1
2000,91569.555,646615.94,645874.6,203899.44,421005.62,2009162.5
2001,91569.555,646278.8,636644.1,202841.17,411613.8,1989211.8
2002,91569.555,645941.6,627413.6,201782.9,402222.03,1969261.0
2003,91569.555,645604.5,618183.2,200724.66,392830.22,1949310.1
2004,91569.555,645267.3,608952.7,199666.39,383438.44,1929359.4
2005,91569.555,644930.2,599722.2,198608.12,374046.62,1909408.6
2006,91593.98,642943.44,584922.44,196955.64,369822.7,1886796.4
2007,91618.39,640956.7,570122.7,195303.16,365598.72,1864184.2
2008,91642.81,638969.9,555323.0,193650.67,361374.78,1841571.9
2009,91667.23,636983.1,540523.25,191998.19,357150.8,1818959.5
2010,91691.65,634996.4,525723.5,190345.7,352926.88,1796347.2
2011,91696.29,629823.8,518044.78,186471.39,344305.84,1770996.1
2012,91700.92,624651.25,510366.06,182597.08,335684.78,1745645.0
2013,91705.56,619478.75,502687.34,178722.77,327063.75,1720293.8
2014,91710.195,614306.2,495008.56,174848.45,318442.7,1694942.5
2015,91714.836,609133.6,487329.84,170974.14,309821.66,1669591.4
2016,91710.86,644815.6,486888.16,165701.77,296247.97,1686495.9
2017,91706.88,680497.6,486446.44,160429.39,282674.28,1703400.4
2018,91702.91,716179.7,486004.75,155157.03,269100.6,1720305.0
2019,91698.93,751861.7,485563.03,149884.66,255526.9,1737209.5
2020,91694.95,787543.7,485121.34,144612.28,241953.23,1754114.0
