date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,775.641,2361.688,11371.971,989.788,9007.514,24506.602
1991,775.641,2327.005,11221.693,987.319,8791.229,24102.887
1992,775.641,2292.322,11071.415,984.85,8574.942,23699.172
1993,775.641,2257.639,10921.138,982.381,8358.657,23295.455
1994,775.641,2222.956,10770.859,979.912,8142.371,22891.74
1995,775.641,2188.273,10620.582,977.443,7926.085,22488.025
1996,775.641,2153.59,10470.305,974.974,7709.8,22084.31
1997,775.641,2118.908,10320.026,972.505,7493.514,21680.596
1998,775.641,2084.225,10169.749,970.036,7277.23,21276.879
1999,775.641,2049.542,10019.471,967.567,7060.944,20873.164
2000,775.641,2014.859,9869.193,965.098,6844.658,20469.45
2001,775.641,2032.237,9845.288,961.746,6792.864,20407.775
2002,775.641,2049.615,9821.383,958.394,6741.07,20346.102
2003,775.641,2066.993,9797.479,955.042,6689.274,20284.43
2004,775.641,2084.371,9773.573,951.69,6637.48,20222.756
2005,775.641,2101.749,9749.668,948.339,6585.686,20161.082
2006,775.641,2081.4,9553.625,940.439,6464.609,19815.715
2007,775.641,2061.052,9357.582,932.539,6343.532,19470.346
2008,775.641,2040.703,9161.54,924.639,6222.455,19124.979
2009,775.641,2020.354,8965.497,916.74,6101.378,18779.61
2010,775.641,2000.006,8769.454,908.84,5980.302,18434.242
2011,775.641,1976.089,8717.717,882.949,5871.935,18224.332
2012,775.641,1952.172,8665.98,857.058,5763.568,18014.42
2013,775.641,1928.255,8614.243,831.166,5655.202,17804.51
2014,775.641,1904.339,8562.507,805.275,5546.835,17594.598
2015,775.641,1880.422,8510.77,779.384,5438.469,17384.688
2016,775.641,2026.08,8480.461,771.366,5176.564,17230.113
2017,775.641,2171.738,8450.151,763.348,4914.659,17075.54
2018,775.641,2317.396,8419.843,755.329,4652.754,16920.965
2019,775.641,2463.054,8389.533,747.311,4390.85,16766.39
2020,775.641,2608.713,8359.225,739.293,4128.945,16611.816
