date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,90465.47,716162.0,714183.5,249228.28,521095.78,2290634.2
1991,90465.47,708534.9,706747.6,244396.98,510690.47,2260403.2
1992,90465.47,700907.7,699311.8,239565.7,500285.12,2230172.2
1993,90465.47,693280.5,691876.0,234734.39,489879.8,2199941.5
1994,90465.47,685653.4,684440.1,229903.05,479474.47,2169710.5
1995,90465.47,678026.25,677004.25,225071.75,469069.22,2139479.5
1996,90465.47,670399.06,669568.44,220240.45,458663.88,2109248.5
1997,90465.47,662771.9,662132.6,215409.16,448258.56,2079017.6
1998,90465.47,655144.75,654696.75,210577.83,437853.25,2048786.6
1999,90465.47,647517.6,647260.9,205746.53,427447.9,2018555.8
2000,90465.47,639890.44,639825.06,200915.22,417042.6,1988324.8
2001,90465.47,639524.8,630711.06,199867.52,407748.3,1968570.8
2002,90465.47,639159.2,621597.0,198819.8,398454.0,1948817.2
2003,90465.47,638793.5,612483.0,197772.1,389159.72,1929063.2
2004,90465.47,638427.9,603368.94,196724.38,379865.4,1909309.5
2005,90465.47,638062.25,594254.94,195676.67,370571.12,1889555.6
2006,90489.89,636101.9,579618.25,194050.89,366422.0,1867235.5
2007,90514.305,634141.5,564981.56,192425.11,362272.88,1844915.6
2008,90538.73,632181.1,550344.9,190799.33,358123.72,1822595.6
2009,90563.14,630220.75,535708.2,189173.55,353974.6,1800275.8
2010,90587.56,628260.4,521071.5,187547.77,349825.47,1777955.9
2011,90591.97,623083.25,513470.47,183720.36,341286.75,1752806.8
2012,90596.37,617906.1,505869.47,179892.95,332748.06,1727657.6
2013,90600.77,612728.94,498268.4,176065.56,324209.34,1702508.6
2014,90605.17,607551.8,490667.4,172238.16,315670.66,1677359.5
2015,90609.58,602374.7,483066.4,168410.75,307131.94,1652210.5
2016,90605.836,637737.1,482644.12,163240.6,293681.4,1669036.0
2017,90602.086,673099.6,482221.8,158070.44,280230.9,1685861.5
2018,90598.34,708462.06,481799.56,152900.3,266780.38,1702687.1
2019,90594.59,743824.56,481377.28,147730.14,253329.88,1719512.6
2020,90590.85,779187.0,480954.97,142559.98,239879.34,1736338.2
