date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,326.424,2948.269,3600.329,438.944,2389.431,9703.397
1991,326.424,2898.917,3534.623,448.085,2332.134,9540.184
1992,326.424,2849.565,3468.916,457.225,2274.838,9376.969
1993,326.424,2800.212,3403.21,466.366,2217.542,9213.755
1994,326.424,2750.86,3337.504,475.507,2160.246,9050.541
1995,326.424,2701.508,3271.797,484.648,2102.95,8887.326
1996,326.424,2652.155,3206.091,493.788,2045.654,8724.112
1997,326.424,2602.803,3140.385,502.929,1988.358,8560.898
1998,326.424,2553.451,3074.678,512.07,1931.062,8397.685
1999,326.424,2504.098,3008.972,521.21,1873.766,8234.47
2000,326.424,2454.746,2943.266,530.351,1816.47,8071.256
2001,326.424,2487.654,2910.367,527.922,1766.993,8019.36
2002,326.424,2520.562,2877.469,525.493,1717.517,7967.464
2003,326.424,2553.47,2844.57,523.064,1668.04,7915.568
2004,326.424,2586.377,2811.672,520.635,1618.564,7863.672
2005,326.424,2619.285,2778.773,518.206,1569.088,7811.776
2006,326.424,2642.521,2655.034,513.885,1544.378,7682.242
2007,326.424,2665.757,2531.295,509.565,1519.668,7552.709
2008,326.424,2688.993,2407.556,505.244,1494.958,7423.175
2009,326.424,2712.229,2283.816,500.924,1470.247,7293.641
2010,326.424,2735.465,2160.077,496.603,1445.537,7164.107
2011,326.424,2730.179,2090.138,482.481,1388.482,7017.704
2012,326.424,2724.893,2020.199,468.359,1331.426,6871.301
2013,326.424,2719.606,1950.26,454.236,1274.371,6724.898
2014,326.424,2714.32,1880.321,440.114,1217.315,6578.494
2015,326.424,2709.034,1810.382,425.992,1160.26,6432.091
2016,326.424,2906.27,1851.726,422.551,1131.346,6640.431
2017,326.424,3103.505,1893.071,419.11,1102.432,6848.772
2018,326.424,3300.741,1934.416,415.669,1073.518,7057.112
2019,326.424,3497.976,1975.76,412.228,1044.604,7265.453
2020,326.424,3695.212,2017.105,408.787,1015.69,7473.794
