date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,1661.284,17964.67,16908.678,3578.67,12743.963,52824.566
1991,1661.284,17743.244,16737.936,3554.685,12486.644,52154.72
1992,1661.284,17521.816,16567.191,3530.701,12229.324,51484.87
1993,1661.284,17300.39,16396.45,3506.716,11972.005,50815.027
1994,1661.284,17078.963,16225.707,3482.732,11714.686,50145.18
1995,1661.284,16857.537,16054.965,3458.747,11457.365,49475.332
1996,1661.284,16636.111,15884.223,3434.762,11200.046,48805.484
1997,1661.284,16414.684,15713.479,3410.778,10942.727,48135.637
1998,1661.284,16193.258,15542.736,3386.794,10685.407,47465.793
1999,1661.284,15971.83,15371.993,3362.809,10428.088,46795.945
2000,1661.284,15750.405,15201.251,3338.824,10170.769,46126.098
2001,1661.284,15882.982,15234.591,3323.256,10149.55,46257.902
2002,1661.284,16015.562,15267.93,3307.687,10128.331,46389.707
2003,1661.284,16148.14,15301.269,3292.118,10107.111,46521.51
2004,1661.284,16280.719,15334.608,3276.55,10085.893,46653.316
2005,1661.284,16413.297,15367.947,3260.981,10064.674,46785.12
2006,1661.284,16309.413,14851.438,3237.111,9795.396,45869.61
2007,1661.284,16205.528,14334.93,3213.24,9526.12,44954.1
2008,1661.284,16101.644,13818.421,3189.37,9256.843,44038.59
2009,1661.284,15997.76,13301.912,3165.5,8987.566,43123.082
2010,1661.284,15893.875,12785.403,3141.629,8718.289,42207.57
2011,1661.284,15645.595,12634.54,3062.521,8523.143,41535.242
2012,1661.284,15397.316,12483.676,2983.413,8327.997,40862.914
2013,1661.284,15149.038,12332.812,2904.306,8132.851,40190.582
2014,1661.284,14900.76,12181.948,2825.198,7937.704,39518.254
2015,1661.284,14652.48,12031.085,2746.09,7742.559,38845.926
2016,1661.284,15770.589,11938.732,2699.457,7367.531,39464.977
2017,1661.284,16888.697,11846.381,2652.824,6992.504,40084.023
2018,1661.284,18006.807,11754.028,2606.19,6617.478,40703.074
2019,1661.284,19124.914,11661.677,2559.557,6242.451,41322.12
2020,1661.284,20243.023,11569.324,2512.924,5867.424,41941.17
