date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,13959.661,75042.1,106724.805,31669.373,78132.64,305506.97
1991,13959.661,74278.414,106349.22,31057.555,76962.07,302592.94
1992,13959.661,73514.734,105973.63,30445.738,75791.49,299678.88
1993,13959.661,72751.05,105598.05,29833.924,74620.92,296764.8
1994,13959.661,71987.37,105222.46,29222.102,73450.34,293850.78
1995,13959.661,71223.68,104846.875,28610.285,72279.77,290936.75
1996,13959.661,70459.99,104471.28,27998.467,71109.2,288022.7
1997,13959.661,69696.31,104095.695,27386.652,69938.625,285108.62
1998,13959.661,68932.625,103720.11,26774.834,68768.055,282194.6
1999,13959.661,68168.945,103344.52,26163.016,67597.48,279280.56
2000,13959.661,67405.26,102968.94,25551.2,66426.91,276366.5
2001,13959.661,67471.28,98789.09,25446.854,63095.355,268821.03
2002,13959.661,67537.31,94609.26,25342.508,59763.797,261275.6
2003,13959.661,67603.336,90429.414,25238.16,56432.242,253730.12
2004,13959.661,67669.37,86249.58,25133.814,53100.69,246184.67
2005,13959.661,67735.39,82069.734,25029.469,49769.137,238639.2
2006,13984.078,67733.836,81827.086,24828.67,50600.652,239055.48
2007,14008.498,67732.28,81584.445,24627.871,51432.168,239471.75
2008,14032.915,67730.73,81341.8,24427.072,52263.68,239888.03
2009,14057.334,67729.17,81099.16,24226.273,53095.195,240304.31
2010,14081.752,67727.62,80856.51,24025.475,53926.715,240720.56
2011,14086.701,67745.94,78930.02,23502.58,52158.797,236521.47
2012,14091.649,67764.25,77003.53,22979.684,50390.88,232322.38
2013,14096.6,67782.57,75077.05,22456.79,48622.965,228123.31
2014,14101.549,67800.88,73150.555,21933.893,46855.047,223924.22
2015,14106.498,67819.2,71224.07,21410.998,45087.133,219725.12
2016,14100.71,71426.51,71697.78,20805.59,43353.08,221500.0
2017,14094.922,75033.81,72171.49,20200.182,41619.023,223274.86
2018,14089.135,78641.11,72645.2,19594.771,39884.965,225049.73
2019,14083.346,82248.414,73118.914,18989.363,38150.91,226824.58
2020,14077.559,85855.72,73592.625,18383.955,36416.855,228599.45
