date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,10.952,65.122,106.44,20.535,80.126,283.175
1991,10.952,64.521,106.155,20.234,78.966,280.828
1992,10.952,63.919,105.87,19.934,77.805,278.48
1993,10.952,63.317,105.585,19.633,76.645,276.132
1994,10.952,62.715,105.3,19.333,75.484,273.784
1995,10.952,62.113,105.016,19.032,74.324,271.437
1996,10.952,61.511,104.731,18.732,73.163,269.089
1997,10.952,60.909,104.446,18.431,72.002,266.741
1998,10.952,60.307,104.161,18.131,70.842,264.393
1999,10.952,59.706,103.877,17.83,69.681,262.045
2000,10.952,59.104,103.592,17.53,68.521,259.698
2001,10.952,59.003,101.798,17.443,66.899,256.096
2002,10.952,58.903,100.005,17.357,65.278,252.495
2003,10.952,58.802,98.212,17.271,63.657,248.893
2004,10.952,58.702,96.418,17.184,62.035,245.292
2005,10.952,58.601,94.625,17.098,60.414,241.691
2006,10.952,58.925,92.037,16.891,59.336,238.141
2007,10.952,59.248,89.449,16.685,58.258,234.592
2008,10.952,59.571,86.86,16.478,57.18,231.042
2009,10.952,59.895,84.272,16.272,56.102,227.493
2010,10.952,60.218,81.684,16.065,55.024,223.943
2011,10.952,58.775,81.054,15.736,54.016,220.534
2012,10.952,57.332,80.425,15.407,53.009,217.124
2013,10.952,55.888,79.796,15.077,52.001,213.715
2014,10.952,54.445,79.166,14.748,50.993,210.305
2015,10.952,53.002,78.537,14.419,49.986,206.896
2016,10.952,58.737,77.859,14.22,47.493,209.261
2017,10.952,64.472,77.181,14.021,45.001,211.627
2018,10.952,70.207,76.502,13.822,42.509,213.992
2019,10.952,75.942,75.824,13.623,40.017,216.358
2020,10.952,81.676,75.146,13.424,37.525,218.723
