date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,459.158,3903.096,3835.99,1114.199,2967.265,12277.756
1991,459.158,3864.288,3812.097,1100.533,2914.004,12148.323
1992,459.158,3825.48,3788.204,1086.868,2860.743,12018.892
1993,459.158,3786.672,3764.311,1073.202,2807.482,11889.459
1994,459.158,3747.864,3740.418,1059.537,2754.221,11760.027
1995,459.158,3709.056,3716.525,1045.871,2700.96,11630.595
1996,459.158,3670.248,3692.632,1032.206,2647.7,11501.162
1997,459.158,3631.44,3668.74,1018.54,2594.439,11371.73
1998,459.158,3592.632,3644.846,1004.875,2541.178,11242.298
1999,459.158,3553.824,3620.954,991.209,2487.917,11112.866
2000,459.158,3515.016,3597.06,977.544,2434.656,10983.434
2001,459.158,3498.037,3554.552,968.299,2400.913,10880.959
2002,459.158,3481.059,3512.043,959.055,2367.17,10778.485
2003,459.158,3464.08,3469.534,949.811,2333.428,10676.011
2004,459.158,3447.102,3427.025,940.567,2299.685,10573.537
2005,459.158,3430.124,3384.516,931.322,2265.942,10471.062
2006,459.158,3412.36,3311.475,922.855,2224.067,10329.915
2007,459.158,3394.597,3238.434,914.387,2182.192,10188.769
2008,459.158,3376.834,3165.393,905.92,2140.317,10047.621
2009,459.158,3359.07,3092.352,897.452,2098.442,9906.475
2010,459.158,3341.307,3019.31,888.984,2056.567,9765.327
2011,459.158,3292.379,2975.352,870.465,2004.41,9601.765
2012,459.158,3243.451,2931.394,851.946,1952.254,9438.202
2013,459.158,3194.523,2887.435,833.426,1900.097,9274.639
2014,459.158,3145.595,2843.477,814.907,1847.94,9111.076
2015,459.158,3096.667,2799.518,796.387,1795.784,8947.514
2016,459.158,3358.924,2758.422,777.498,1699.396,9053.397
2017,459.158,3621.181,2717.325,758.609,1603.008,9159.281
2018,459.158,3883.438,2676.229,739.72,1506.62,9265.164
2019,459.158,4145.695,2635.133,720.83,1410.232,9371.048
2020,459.158,4407.952,2594.037,701.941,1313.845,9476.932
