date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,61773.863,509991.7,512290.06,167300.39,371799.38,1622825.0
1991,61773.863,504154.3,505579.56,164274.06,363647.84,1599143.5
1992,61773.863,498316.97,498869.1,161247.73,355496.3,1575462.0
1993,61773.863,492479.66,492158.62,158221.4,347344.78,1551780.6
1994,61773.863,486642.34,485448.16,155195.08,339193.25,1528099.1
1995,61773.863,480804.97,478737.62,152168.75,331041.75,1504417.6
1996,61773.863,474967.6,472027.12,149142.4,322890.22,1480736.1
1997,61773.863,469130.28,465316.72,146116.08,314738.7,1457054.6
1998,61773.863,463292.97,458606.2,143089.75,306587.16,1433373.2
1999,61773.863,457455.62,451895.72,140063.42,298435.62,1409691.8
2000,61773.863,451618.3,445185.22,137037.1,290284.1,1386010.2
2001,61773.863,451849.56,441537.62,136462.05,285506.9,1377286.4
2002,61773.863,452080.94,437890.1,135887.0,280729.72,1368562.6
2003,61773.863,452312.28,434242.5,135311.94,275952.56,1359838.8
2004,61773.863,452543.6,430594.9,134736.89,271175.38,1351115.0
2005,61773.863,452774.9,426947.38,134161.84,266398.2,1342391.1
2006,61773.863,450661.38,414829.1,133114.61,262377.72,1323099.5
2007,61773.863,448547.9,402710.78,132067.38,258357.25,1303807.9
2008,61773.863,446434.34,390592.5,131020.13,254336.77,1284516.1
2009,61773.863,444320.8,378474.2,129972.91,250316.28,1265224.5
2010,61773.863,442207.34,366355.9,128925.67,246295.83,1245932.9
2011,61772.66,438557.7,361738.03,126195.695,240734.67,1229371.1
2012,61771.46,434908.06,357120.2,123465.73,235173.5,1212809.2
2013,61770.258,431258.47,352502.3,120735.76,229612.34,1196247.5
2014,61769.055,427608.84,347884.47,118005.79,224051.2,1179685.6
2015,61767.85,423959.22,343266.6,115275.81,218490.03,1163123.9
2016,61769.44,449228.28,342807.16,111871.22,208839.0,1175248.8
2017,61771.02,474497.44,342347.7,108466.61,199187.95,1187373.6
2018,61772.61,499766.53,341888.25,105062.02,189536.92,1199498.4
2019,61774.188,525035.6,341428.78,101657.42,179885.88,1211623.2
2020,61775.77,550304.75,340969.34,98252.82,170234.84,1223748.1
