date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,81.439,334.222,1078.218,99.28,860.44,2453.599
1991,81.439,329.161,1065.592,99.495,840.517,2416.204
1992,81.439,324.099,1052.967,99.71,820.595,2378.81
1993,81.439,319.038,1040.341,99.925,800.673,2341.415
1994,81.439,313.976,1027.715,100.14,780.751,2304.02
1995,81.439,308.915,1015.089,100.355,760.828,2266.626
1996,81.439,303.854,1002.463,100.57,740.906,2229.231
1997,81.439,298.792,989.837,100.785,720.984,2191.837
1998,81.439,293.731,977.211,101.0,701.062,2154.442
1999,81.439,288.67,964.585,101.214,681.14,2117.048
2000,81.439,283.608,951.96,101.429,661.218,2079.653
2001,81.439,284.815,955.161,100.802,661.445,2083.662
2002,81.439,286.021,958.363,100.174,661.673,2087.67
2003,81.439,287.228,961.564,99.546,661.901,2091.678
2004,81.439,288.434,964.766,98.919,662.129,2095.686
2005,81.439,289.641,967.967,98.291,662.357,2099.694
2006,81.439,288.221,938.525,97.513,642.514,2048.211
2007,81.439,286.802,909.083,96.735,622.67,1996.728
2008,81.439,285.382,879.641,95.957,602.827,1945.245
2009,81.439,283.963,850.199,95.179,582.984,1893.762
2010,81.439,282.543,820.757,94.401,563.14,1842.279
2011,81.439,276.691,820.67,91.678,555.969,1826.445
2012,81.439,270.839,820.583,88.954,548.797,1810.611
2013,81.439,264.986,820.496,86.231,541.626,1794.777
2014,81.439,259.134,820.409,83.508,534.454,1778.943
2015,81.439,253.282,820.322,80.784,527.283,1763.109
2016,81.439,272.561,815.52,79.562,501.491,1750.573
2017,81.439,291.84,810.718,78.341,475.699,1738.036
2018,81.439,311.118,805.915,77.119,449.908,1725.499
2019,81.439,330.397,801.113,75.897,424.116,1712.962
2020,81.439,349.676,796.311,74.676,398.325,1700.426
