date,dhno3gas,dnh3gas,dnh4total,dno2gas,dno3total,dntotal
1990,2724.733,10598.445,29231.373,4878.774,22149.426,69582.75
1991,2724.733,10494.97,28866.898,4809.854,21632.91,68529.37
1992,2724.733,10391.493,28502.426,4740.934,21116.395,67475.98
1993,2724.733,10288.018,28137.951,4672.014,20599.88,66422.59
1994,2724.733,10184.541,27773.479,4603.094,20083.365,65369.21
1995,2724.733,10081.065,27409.004,4534.174,19566.85,64315.83
1996,2724.733,9977.59,27044.527,4465.254,19050.334,63262.438
1997,2724.733,9874.113,26680.057,4396.334,18533.818,62209.055
1998,2724.733,9770.638,26315.582,4327.414,18017.305,61155.668
1999,2724.733,9667.161,25951.11,4258.494,17500.79,60102.285
2000,2724.733,9563.686,25586.635,4189.574,16984.273,59048.895
2001,2724.733,9593.426,25391.736,4178.251,16694.373,58582.523
2002,2724.733,9623.165,25196.836,4166.929,16404.475,58116.133
2003,2724.733,9652.905,25001.938,4155.606,16114.574,57649.76
2004,2724.733,9682.645,24807.037,4144.284,15824.674,57183.37
2005,2724.733,9712.385,24612.139,4132.961,15534.774,56717.0
2006,2724.733,9677.993,24030.873,4098.996,15355.701,55888.3
2007,2724.733,9643.601,23449.607,4065.031,15176.627,55059.6
2008,2724.733,9609.209,22868.344,4031.066,14997.554,54230.906
2009,2724.733,9574.816,22287.078,3997.102,14818.48,53402.207
2010,2724.733,9540.425,21705.812,3963.137,14639.406,52573.51
2011,2724.733,9363.088,21427.676,3866.209,14298.296,51680.0
2012,2724.733,9185.751,21149.537,3769.282,13957.186,50786.49
2013,2724.733,9008.414,20871.4,3672.354,13616.073,49892.977
2014,2724.733,8831.077,20593.262,3575.426,13274.964,48999.465
2015,2724.733,8653.74,20315.125,3478.498,12933.854,48105.953
2016,2724.733,9283.126,20385.885,3396.281,12389.138,48180.727
2017,2724.733,9912.512,20456.645,3314.064,11844.421,48255.496
2018,2724.733,10541.896,20527.402,3231.847,11299.705,48330.27
2019,2724.733,11171.282,20598.162,3149.63,10754.988,48405.04
2020,2724.733,11800.668,20668.922,3067.412,10210.272,48479.812
