date,mean winter Schmidt stability
1911,0.6
1951,-0.0
1954,5.22
1955,-9.84
1969,5.3
1970,33.24
1974,15.38
1975,5.46
1976,2.69
1984,0.09
1985,17.67
1986,-12.23
1987,5.56
1988,4.62
1989,-0.27
1990,1.76
1991,0.16
1992,3.76
1993,-1.05
1994,0.08
1995,-0.02
1996,1.67
1997,-2.45
1998,5.27
1999,0.75
2000,0.02
2001,14.81
2002,1.3
2003,18.38
2004,1.59
2005,0.99
2006,8.45
2007,19.21
2008,1.61
2009,0.2
2013,2.21
2014,1.78
