date,mean spring bottom oxygen concentration
1951,9.94
1954,10.04
1955,10.46
1968,9.49
1969,5.67
1970,10.06
1972,4.12
1975,8.73
1976,6.86
1977,3.77
1984,7.18
1985,9.9
1986,10.11
1987,9.83
1988,9.49
1989,8.67
1990,8.65
1991,8.85
1992,10.43
1993,8.97
1994,10.33
1995,10.09
1996,8.73
1997,8.04
1998,8.37
1999,10.25
2000,9.89
2001,9.02
2002,9.9
2003,9.07
2004,9.88
2005,9.74
2006,10.47
2007,8.6
2008,8.92
2009,9.07
2010,9.15
2011,7.47
2012,8.89
2013,8.27
2014,7.21
2015,8.99
2017,8.72
2018,9.87
2019,10.22
2020,9.78
2021,9.56
2022,9.55
2023,8.85
