date,minimum bottom oxygen concentration
1954,0.3
1955,0.3
1968,0.2
1970,0.2
1975,1.8
1984,0.43
1985,2.93
1986,3.9
1987,4.63
1988,4.53
1989,2.97
1990,3.23
1991,4.03
1992,4.9
1993,3.03
1994,4.83
1995,3.93
1996,3.5
1997,3.37
1998,3.03
1999,4.77
2000,4.13
2001,3.83
2002,5.27
2003,3.37
2004,4.27
2005,3.9
2006,1.73
2007,3.1
2008,3.17
2009,4.4
2010,3.43
2011,3.13
2012,3.97
2013,3.13
2014,2.0
