date,mean spring epilimnion 0-5 m oxygen concentration
1951,12.17
1954,11.84
1955,13.08
1968,16.63
1969,11.18
1970,11.2
1972,12.05
1975,11.81
1976,12.95
1984,11.56
1985,11.05
1986,10.86
1987,13.06
1988,17.04
1989,13.33
1990,12.72
1991,15.03
1992,13.99
1993,14.92
1994,13.49
1995,12.62
1996,15.1
1997,12.69
1998,14.14
1999,13.51
2000,14.58
2001,12.53
2002,13.06
2003,13.95
2004,12.71
2005,12.72
2006,13.17
2007,15.16
2008,13.23
2009,13.57
2010,12.4
2011,14.62
2012,12.41
2013,10.32
2014,13.37
2015,12.2
2017,12.53
2018,14.71
2019,15.82
2020,12.75
2021,12.04
2022,13.02
2023,12.03
