date,mean early autumn bottom oxygen concentration
1950,6.58
1954,2.68
1955,2.91
1966,5.3
1967,7.44
1968,1.63
1970,2.31
1972,0.36
1974,1.08
1975,2.0
1976,0.86
1978,0.3
1979,0.2
1980,0.27
1981,0.17
1982,0.18
1983,0.1
1984,3.78
1985,5.84
1986,5.44
1987,8.37
1988,5.55
1989,5.87
1990,5.66
1991,6.31
1992,5.74
1993,4.89
1994,6.1
1995,5.9
1996,4.93
1997,3.78
1998,3.82
1999,5.94
2000,4.71
2001,5.41
2002,6.28
2003,4.56
2004,4.53
2005,4.84
2006,5.33
2007,4.25
2008,4.4
2009,4.75
2010,5.49
2011,3.89
2012,4.42
2013,3.59
2014,3.85
2015,3.35
2016,4.01
2017,3.62
2018,4.37
2019,3.97
2020,3.67
2021,4.76
2022,5.07
2023,6.05
