date,mean summer epilimnion 0-10 m oxygen concentration
1951,12.29
1954,11.87
1955,11.77
1967,10.12
1968,9.1
1970,10.82
1972,9.37
1974,9.78
1975,12.57
1976,10.0
1978,10.08
1980,9.36
1981,8.82
1982,10.3
1983,13.81
1984,10.05
1985,10.65
1986,10.22
1987,9.67
1988,9.93
1989,11.21
1990,9.53
1991,11.33
1992,10.91
1993,10.47
1994,11.37
1995,12.36
1996,10.12
1997,9.83
1998,11.99
1999,9.76
2000,11.26
2001,10.29
2002,9.66
2003,11.35
2004,10.96
2005,10.32
2006,10.43
2007,9.99
2008,8.38
2009,9.15
2010,10.27
2011,10.09
2012,9.49
2013,10.38
2014,9.16
2015,10.04
2016,8.57
2017,9.72
2018,12.18
2019,11.29
2020,9.33
2021,9.81
2022,9.52
2023,9.7
