date,mean spring epilimnion 5-10 m oxygen concentration
1951,12.36
1954,11.96
1955,13.04
1968,11.89
1969,10.55
1970,11.09
1972,10.61
1975,10.67
1976,10.21
1984,11.65
1985,10.62
1986,10.79
1987,11.19
1988,12.91
1989,12.08
1990,11.85
1991,12.62
1992,12.41
1993,12.64
1994,12.2
1995,11.7
1996,11.57
1997,12.41
1998,10.94
1999,12.49
2000,14.11
2001,12.28
2002,12.17
2003,12.0
2004,12.04
2005,11.75
2006,11.98
2007,11.94
2008,11.36
2009,12.0
2010,11.65
2011,13.24
2012,11.81
2013,10.25
2014,10.51
2015,11.63
2017,11.96
2018,12.64
2019,12.78
2020,11.73
2021,11.71
2022,11.71
2023,11.53
