date,minimum bottom temperature
1954,3.55
1955,3.6
1970,2.9
1975,4.2
1984,3.5
1985,3.33
1986,3.7
1987,3.47
1988,4.4
1989,4.5
1990,4.8
1991,4.0
1992,3.6
1993,3.9
1994,4.17
1995,5.03
1996,4.04
1997,4.1
1998,4.53
1999,3.8
2000,4.11
2001,4.97
2002,4.56
2003,4.3
2004,4.41
2005,4.16
2006,3.92
2007,4.44
2008,4.5
2009,3.58
2010,3.56
2011,3.71
2012,3.4
2013,3.79
2014,4.5
