date,mean annual hypolimnetic density
1984,1000.1534
1985,1000.1506
1986,1000.149
1987,1000.1411
1988,1000.1416
1989,1000.1295
1990,1000.1271
1991,1000.146
1992,1000.1477
1993,1000.1505
1994,1000.1379
1995,1000.1347
1996,1000.1523
1997,1000.1497
1998,1000.1381
1999,1000.1548
2000,1000.1526
2001,1000.1314
2002,1000.1352
2003,1000.1554
2004,1000.1528
2005,1000.1592
2006,1000.1621
2007,1000.1456
2008,1000.144
2009,1000.1555
2010,1000.1576
2011,1000.1613
2012,1000.1529
2013,1000.1602
2014,1000.143
