date,mean annual Secchi depth
1975,4.38
1984,2.66
1985,3.19
1986,3.86
1987,4.99
1988,3.88
1989,3.34
1990,3.57
1991,3.6
1992,3.21
1993,2.76
1994,2.65
1995,3.38
1996,3.02
1997,3.16
1998,4.53
1999,2.74
2000,3.89
2001,4.72
2002,3.99
2003,4.22
2004,4.84
2005,4.6
2006,4.27
2007,4.39
2008,4.35
2009,4.77
2010,4.59
2011,4.83
2013,4.65
2014,3.61
