date,mean autumn bottom oxygen concentration
1950,7.59
1954,1.68
1955,1.22
1967,5.25
1968,0.2
1970,1.67
1974,3.52
1975,2.03
1976,1.43
1977,0.14
1984,3.22
1985,4.19
1986,5.32
1987,7.06
1988,5.64
1989,5.83
1990,5.14
1991,5.31
1992,5.4
1993,3.96
1994,5.15
1995,5.15
1996,3.68
1997,3.82
1998,3.76
1999,8.17
2000,4.65
2001,4.95
2002,5.47
2003,4.66
2004,4.96
2005,4.21
2006,2.86
2007,3.82
2008,3.72
2009,5.0
2010,4.82
2011,4.1
2012,4.03
2013,3.55
2014,2.77
2015,2.57
2016,3.21
2017,3.26
2018,2.67
2019,3.66
2020,2.48
2021,4.84
2022,5.14
2023,5.56
