date,mean early autumn hypolimnetic oxygen content
1950,3164.92
1954,3368.28
1955,3380.41
1966,3059.99
1967,3399.9
1968,3317.56
1970,3102.23
1972,1438.32
1974,2503.84
1975,2783.23
1976,2429.1
1978,1973.42
1979,1645.95
1980,1895.11
1981,1914.65
1982,2041.29
1983,1943.46
1984,2412.79
1985,2891.56
1986,2930.89
1987,3025.44
1988,2962.05
1989,2382.85
1990,2477.75
1991,2382.17
1992,2843.13
1993,2304.44
1994,2343.36
1995,2373.51
1996,2414.55
1997,2182.89
1998,2342.8
1999,2883.5
2000,2273.58
2001,2735.87
2002,2853.41
2003,2481.01
2004,2591.56
2005,2916.97
2006,3042.7
2007,2041.88
2008,2821.24
2009,2926.57
2010,3059.24
2011,2491.93
2012,2533.26
2013,2665.28
2014,1853.15
2015,2867.68
2016,2696.74
2017,2699.46
2018,3269.99
2019,2700.16
2020,2889.37
2021,3002.87
2022,2846.54
2023,2781.3
