date,mean spring surface oxygen concentration
1951,11.9
1954,11.81
1955,12.92
1968,13.83
1969,11.19
1970,11.15
1972,12.41
1975,12.01
1976,13.34
1984,13.37
1985,11.06
1986,10.68
1987,13.64
1988,16.85
1989,13.53
1990,12.71
1991,15.04
1992,14.98
1993,16.11
1994,14.95
1995,13.17
1996,17.27
1997,12.67
1998,14.86
1999,14.33
2000,15.26
2001,12.22
2002,13.55
2003,13.77
2004,13.03
2005,12.88
2006,13.45
2007,13.89
2008,13.34
2009,13.45
2010,12.8
2011,13.53
2012,12.33
2013,10.16
2014,15.45
2015,12.31
2017,12.46
2018,15.02
2019,15.85
2020,12.78
2021,11.98
2022,13.29
2023,12.09
