date,mean winter bottom oxygen concentration
1951,5.05
1954,2.95
1955,9.64
1968,10.26
1969,0.64
1970,1.29
1974,4.69
1975,3.88
1976,4.59
1984,8.27
1985,5.56
1986,6.07
1987,8.64
1988,6.4
1989,7.8
1990,6.84
1991,8.41
1992,8.62
1993,9.0
1994,10.33
1995,6.48
1996,7.54
1997,7.39
1998,5.08
1999,8.73
2000,10.2
2001,5.5
2002,8.77
2003,7.23
2004,6.76
2005,7.2
2006,7.8
2007,5.87
2008,7.71
2009,8.06
2013,7.33
2014,5.29
