date,minimum Secchi depth
1975,1.3
1984,1.2
1985,1.5
1986,1.9
1987,1.7
1988,1.3
1989,1.5
1990,1.8
1991,1.4
1992,1.5
1993,1.6
1994,1.2
1995,1.2
1996,1.7
1997,1.8
1998,2.0
1999,1.6
2000,1.9
2001,2.3
2002,2.3
2003,2.0
2004,2.5
2005,1.4
2006,2.0
2007,1.8
2008,1.5
2009,1.2
2010,2.2
2011,1.7
2013,2.3
2014,2.1
