date,mean autumn epilimnion 5-10 m oxygen concentration
1950,10.83
1954,10.05
1955,9.85
1967,8.92
1968,9.18
1970,8.15
1974,8.69
1975,6.49
1977,6.31
1984,10.08
1985,4.85
1986,7.23
1987,8.59
1988,9.8
1989,8.3
1990,8.73
1991,9.14
1992,9.35
1993,9.68
1994,8.98
1995,8.04
1996,9.28
1997,6.76
1998,9.71
1999,12.7
2000,7.02
2001,7.73
2002,8.38
2003,9.45
2004,8.3
2005,6.98
2006,8.19
2007,8.44
2008,8.21
2009,6.27
2010,8.86
2011,8.75
2012,7.46
2013,8.46
2014,6.45
2015,8.76
2016,7.85
2017,9.34
2018,8.48
2019,8.48
2020,7.51
2021,7.74
2022,9.22
2023,7.46
