date,mean winter surface temperature
1911,4.02
1951,4.0
1954,4.23
1955,3.72
1969,3.63
1970,2.44
1974,4.58
1975,4.83
1976,3.89
1984,4.29
1985,3.34
1986,4.11
1987,4.0
1988,5.08
1989,4.97
1990,5.13
1991,5.02
1992,4.04
1993,4.57
1994,4.69
1995,5.11
1996,5.17
1997,4.06
1998,5.26
1999,4.81
2000,4.12
2001,5.51
2002,4.79
2003,5.82
2004,4.98
2005,4.98
2006,2.45
2007,5.21
2008,4.78
2009,4.31
2013,4.73
2014,4.83
