date,mean early autumn thermocline depth
1910,10.98
1950,12.07
1954,11.5
1955,11.56
1966,9.5
1970,9.13
1972,9.92
1974,8.76
1975,7.44
1976,8.01
1978,9.77
1979,9.92
1980,9.05
1981,10.48
1982,7.3
1983,7.64
1984,8.98
1985,8.74
1986,7.89
1987,7.58
1988,8.4
1989,9.39
1990,9.07
1991,7.84
1992,8.66
1993,9.13
1994,9.4
1995,10.15
1996,9.4
1997,8.15
1998,9.71
1999,7.46
2000,8.79
2001,8.76
2002,8.83
2003,8.92
2004,9.14
2005,8.35
2006,8.1
2007,10.48
2008,9.2
2009,8.08
2010,9.27
2011,9.22
2012,8.34
2013,8.57
2014,9.58
2015,9.04
2016,7.76
2017,9.97
2018,8.3
2019,8.55
2020,9.1
2021,8.57
2022,8.44
2023,8.43
