date,mean autumn Schmidt stability
1910,2284.47
1950,2439.5
1954,2109.71
1955,1934.16
1970,2059.47
1974,1338.06
1975,1827.05
1977,1709.35
1984,1700.7
1985,2395.03
1986,1927.06
1987,1986.27
1988,1645.56
1989,1742.74
1990,1999.54
1991,2243.63
1992,1888.11
1993,1779.24
1994,1902.91
1995,2011.74
1996,1598.72
1997,1657.97
1998,2008.46
1999,2012.93
2000,2842.83
2001,2062.83
2002,1881.74
2003,1877.13
2004,2636.48
2005,2346.81
2006,2433.56
2007,2524.41
2008,1841.5
2009,2361.38
2010,1925.6
2011,2644.05
2012,2207.0
2013,2217.15
2014,2902.01
2015,1872.12
2016,2050.24
2017,2496.9
2018,2822.46
2019,2788.11
2020,2850.67
2021,2277.73
2022,2700.57
2023,3061.34
