date,mean autumn hypolimnetic oxygen concentration
1950,7.31
1954,7.14
1955,7.64
1967,7.05
1968,6.34
1970,6.58
1974,5.81
1975,6.2
1977,2.86
1984,4.31
1985,6.12
1986,6.38
1987,6.61
1988,6.48
1989,4.89
1990,4.8
1991,4.9
1992,5.98
1993,4.72
1994,4.87
1995,4.97
1996,4.92
1997,4.69
1998,5.01
1999,8.84
2000,5.16
2001,5.45
2002,6.23
2003,5.49
2004,5.48
2005,6.17
2006,5.95
2007,4.49
2008,5.99
2009,6.55
2010,6.74
2011,5.55
2012,5.57
2013,5.77
2014,4.07
2015,6.08
2016,5.77
2017,5.64
2018,6.11
2019,5.67
2020,5.98
2021,6.34
2022,6.1
2023,6.34
