date,minimum surface temperature
1954,3.3
1955,2.8
1970,2.0
1975,4.5
1984,3.3
1985,2.3
1986,2.8
1987,2.9
1988,4.4
1989,4.5
1990,4.8
1991,4.15
1992,3.4
1993,3.9
1994,4.24
1995,5.03
1996,4.55
1997,3.8
1998,4.7
1999,3.86
2000,3.15
2001,5.04
2002,4.61
2003,4.58
2004,4.42
2005,3.96
2006,2.43
2007,4.93
2008,4.48
2009,3.81
2010,3.48
2011,3.58
2012,3.8
2013,4.27
2014,4.82
