date,mean winter surface oxygen concentration
1951,6.95
1954,10.3
1955,9.68
1968,9.94
1969,9.06
1970,9.54
1974,9.51
1975,9.37
1976,8.97
1984,8.29
1985,7.66
1986,8.93
1987,9.24
1988,8.19
1989,8.51
1990,7.09
1991,8.69
1992,9.02
1993,8.89
1994,10.05
1995,8.4
1996,7.61
1997,8.26
1998,8.0
1999,8.87
2000,10.2
2001,8.11
2002,9.41
2003,9.02
2004,8.96
2005,8.95
2006,9.91
2007,7.77
2008,8.53
2009,8.92
2013,8.44
2014,8.72
