date,mean winter epilimnion 0-10 m oxygen concentration
1951,6.57
1954,10.29
1955,9.68
1968,10.12
1969,8.98
1970,9.45
1974,9.27
1975,8.82
1976,8.94
1984,8.39
1985,7.58
1986,8.98
1987,9.17
1988,8.23
1989,8.46
1990,7.12
1991,8.46
1992,8.81
1993,9.13
1994,10.31
1995,8.27
1996,7.55
1997,8.23
1998,7.97
1999,8.67
2000,10.08
2001,7.46
2002,9.08
2003,8.97
2004,8.83
2005,8.59
2006,9.32
2007,8.0
2008,8.47
2009,8.83
2013,8.26
2014,8.69
