date,mean late autumn bottom oxygen concentration
1950,5.48
1954,0.46
1955,0.71
1967,4.41
1968,0.28
1970,0.73
1974,3.85
1975,2.31
1976,2.01
1984,2.93
1985,4.54
1986,5.37
1987,5.41
1988,4.9
1989,3.55
1990,3.74
1991,4.52
1992,5.6
1993,3.34
1994,4.93
1995,4.77
1996,3.85
1997,3.54
1998,4.1
1999,4.93
2000,4.43
2001,4.35
2002,5.67
2003,4.48
2004,4.71
2005,5.02
2006,2.84
2007,3.6
2008,3.39
2009,4.8
2010,4.3
2011,3.63
2012,4.19
2013,4.39
2014,2.68
2015,2.49
2016,2.69
2017,3.83
2018,3.33
2019,3.01
2021,4.74
2022,4.88
2023,5.53
