date,mean annual surface conductivity
1984,252.57
1985,243.52
1986,238.11
1987,242.46
1988,228.77
1989,244.82
1990,250.48
1991,254.78
1992,252.21
1993,252.1
1994,255.07
1995,262.72
1996,256.63
1997,265.29
1998,259.88
1999,253.2
2000,257.47
2001,265.32
2002,259.71
2003,263.61
2004,274.55
2005,264.56
2006,272.73
2007,268.61
2008,260.32
2009,256.52
2010,266.43
2011,259.49
2012,266.08
2013,269.63
2014,264.45
