date,mean autumn bottom temperature
1910,4.6
1950,4.0
1954,4.37
1955,4.2
1970,4.2
1974,4.6
1975,4.56
1976,4.37
1977,4.4
1984,4.11
1985,4.53
1986,4.3
1987,4.23
1988,4.89
1989,5.2
1990,5.36
1991,4.51
1992,4.89
1993,4.68
1994,5.41
1995,5.57
1996,4.5
1997,4.83
1998,5.3
1999,4.9
2000,5.14
2001,5.53
2002,5.64
2003,5.17
2004,5.15
2005,4.52
2006,4.62
2007,5.26
2008,5.16
2009,4.38
2010,4.2
2011,4.35
2012,4.18
2013,4.34
2014,4.89
2015,5.5
2016,5.76
2017,5.14
2018,4.83
2019,5.61
2020,6.21
2021,5.76
2022,5.88
2023,5.91
