date,mean summer bottom oxygen concentration
1951,6.87
1954,6.45
1955,5.49
1967,8.41
1968,5.24
1970,4.68
1972,1.17
1974,2.41
1975,4.55
1976,1.34
1978,2.3
1980,2.14
1981,1.06
1982,1.15
1983,1.79
1984,0.75
1985,6.71
1986,5.5
1987,9.59
1988,7.95
1989,7.42
1990,7.2
1991,8.61
1992,6.92
1993,6.34
1994,6.78
1995,7.95
1996,7.42
1997,5.62
1998,5.92
1999,6.54
2000,5.47
2001,6.62
2002,7.18
2003,4.26
2004,6.56
2005,5.55
2006,7.12
2007,5.18
2008,6.41
2009,7.71
2010,6.66
2011,5.26
2012,5.97
2013,5.04
2014,4.54
2015,4.85
2016,6.37
2017,6.06
2018,5.7
2019,7.83
2020,5.51
2021,7.4
2022,6.92
2023,7.21
