date,mean spring Secchi depth
1910,8.78
1911,8.01
1951,7.13
1969,5.24
1972,2.33
1975,4.23
1976,2.69
1984,2.95
1985,4.04
1986,4.29
1987,3.69
1988,2.74
1989,2.24
1990,1.95
1991,2.15
1992,2.64
1993,2.08
1994,2.44
1995,2.99
1996,2.24
1997,1.95
1998,4.04
1999,2.52
2000,2.33
2001,3.48
2002,2.95
2003,2.36
2004,3.3
2005,2.58
2006,3.05
2007,3.5
2008,4.11
2009,4.08
2010,4.12
2011,6.79
2012,3.84
2013,6.53
2014,2.3
2015,3.42
2017,2.9
2018,2.93
2019,3.34
2020,5.09
2021,4.08
2022,2.0
2023,3.46
