date,mean spring surface temperature
1910,6.43
1911,8.85
1951,10.57
1954,6.13
1955,6.51
1969,5.7
1970,4.48
1972,7.09
1975,7.15
1976,11.36
1984,7.96
1985,4.89
1986,5.01
1987,7.17
1988,9.55
1989,7.97
1990,7.25
1991,7.33
1992,7.63
1993,8.15
1994,8.41
1995,7.8
1996,9.96
1997,7.74
1998,10.65
1999,7.22
2000,8.42
2001,8.13
2002,8.99
2003,10.99
2004,8.02
2005,8.53
2006,7.73
2007,12.86
2008,9.59
2009,9.83
2010,7.27
2011,13.88
2012,7.36
2013,6.7
2014,10.85
2015,9.63
2017,8.89
2018,9.23
2019,10.83
2020,12.06
2021,7.21
2022,10.12
2023,8.98
