date,mean winter Secchi depth
1911,10.5
1951,9.29
1969,11.98
1975,9.65
1984,3.6
1985,4.83
1986,3.66
1987,6.7
1988,7.63
1989,4.65
1990,4.83
1991,5.43
1992,4.03
1993,4.26
1994,3.4
1995,4.7
1996,4.46
1997,3.63
1998,7.02
1999,4.09
2000,4.0
2001,7.28
2002,6.94
2003,5.07
2004,5.5
2005,9.1
2006,7.19
2007,8.85
2008,7.2
2009,7.25
2013,7.77
2014,5.09
