date,mean summer Schmidt stability
1910,4125.35
1951,4005.82
1954,3087.27
1955,3667.08
1969,3426.0
1970,2820.91
1972,2996.41
1974,3115.94
1975,3506.76
1976,2600.75
1978,2392.96
1980,2310.67
1981,2157.27
1982,2313.78
1983,2650.28
1984,3156.92
1985,3296.16
1986,2670.99
1987,2802.74
1988,2894.65
1989,3371.48
1990,3303.76
1991,3744.54
1992,3768.77
1993,3490.86
1994,4136.39
1995,3654.74
1996,3115.72
1997,3554.44
1998,4066.72
1999,3446.17
2000,3240.51
2001,3614.33
2002,4043.32
2003,5090.09
2004,3874.56
2005,3509.31
2006,3912.28
2007,3912.94
2008,3343.15
2009,3482.66
2010,4127.57
2011,4059.83
2012,3655.82
2013,3876.4
2014,3450.37
2015,4467.47
2016,3439.61
2017,3979.14
2018,4585.84
2019,3801.94
2020,4265.97
2021,3748.9
2022,4256.72
2023,3559.52
