date,mean early autumn Schmidt stability
1910,3522.41
1950,3752.7
1954,3477.39
1955,3456.62
1966,2620.63
1970,3302.34
1972,2227.03
1974,3238.2
1975,3138.64
1976,2461.44
1978,2357.57
1979,2333.08
1980,2604.61
1981,2041.9
1982,2115.14
1983,2277.9
1984,2468.07
1985,3419.53
1986,2612.43
1987,3269.84
1988,2978.34
1989,3072.49
1990,3233.82
1991,3652.17
1992,3143.06
1993,2957.9
1994,3183.47
1995,2800.58
1996,2708.0
1997,3611.86
1998,3157.69
1999,3676.41
2000,3587.43
2001,2712.84
2002,3415.44
2003,3481.21
2004,4153.73
2005,3715.27
2006,3498.27
2007,3750.07
2008,3178.32
2009,3447.46
2010,3074.4
2011,4020.67
2012,3486.48
2013,3394.01
2014,3652.93
2015,3284.92
2016,3852.09
2017,3454.46
2018,4287.6
2019,4049.28
2020,4334.41
2021,3826.47
2022,3978.7
2023,4570.52
