date,mean summer epilimnion 5-10 m oxygen concentration
1951,12.78
1954,12.4
1955,13.13
1967,9.04
1968,7.34
1970,7.99
1972,7.04
1974,7.74
1975,9.06
1976,6.3
1978,6.99
1980,6.16
1981,4.85
1982,6.26
1983,14.18
1984,8.02
1985,8.04
1986,6.9
1987,7.93
1988,7.14
1989,11.05
1990,7.11
1991,10.33
1992,9.58
1993,9.37
1994,7.6
1995,11.84
1996,8.93
1997,6.43
1998,14.1
1999,5.15
2000,11.65
2001,6.48
2002,6.48
2003,11.87
2004,10.52
2005,8.76
2006,9.38
2007,7.98
2008,4.5
2009,6.25
2010,8.7
2011,10.01
2012,8.7
2013,7.36
2014,7.08
2015,8.52
2016,5.98
2017,7.99
2018,13.35
2019,10.36
2020,8.05
2021,7.55
2022,9.57
2023,8.09
