date,mean annual bottom conductivity
1984,289.74
1985,292.38
1986,287.46
1987,277.57
1988,286.65
1989,278.96
1990,285.94
1991,289.22
1992,293.43
1993,290.41
1994,296.41
1995,298.75
1996,294.77
1997,316.67
1998,292.89
1999,296.45
2000,301.92
2001,299.86
2002,302.54
2003,312.77
2004,306.4
2005,306.65
2006,310.52
2007,310.23
2008,295.04
2009,297.97
2010,294.86
2011,298.76
2012,296.63
2013,302.41
2014,297.11
