date,mean autumn epilimnion 0-10 m oxygen concentration
1950,11.2
1954,10.16
1955,9.86
1967,10.1
1968,9.7
1970,9.86
1974,9.22
1975,10.21
1977,8.72
1984,10.2
1985,7.53
1986,9.03
1987,8.97
1988,10.03
1989,8.79
1990,9.27
1991,9.67
1992,9.83
1993,9.9
1994,9.28
1995,10.02
1996,9.42
1997,7.76
1998,9.67
1999,11.55
2000,7.54
2001,10.02
2002,9.34
2003,9.65
2004,9.08
2005,8.71
2006,8.74
2007,8.69
2008,9.4
2009,7.81
2010,9.12
2011,9.05
2012,8.73
2013,9.28
2014,8.47
2015,9.07
2016,8.58
2017,9.53
2018,8.65
2019,8.97
2020,8.81
2021,8.9
2022,9.59
2023,8.31
