date,mean autumn Secchi depth
1910,6.58
1950,5.33
1974,7.75
1975,5.87
1977,2.93
1984,1.57
1985,3.37
1986,5.63
1987,4.26
1988,2.88
1989,2.75
1990,2.51
1991,2.56
1992,3.03
1993,1.78
1994,1.94
1995,3.43
1996,2.23
1997,3.32
1998,3.22
1999,2.47
2000,4.3
2001,3.43
2002,2.63
2003,5.28
2004,5.92
2005,4.14
2006,4.08
2007,4.24
2008,4.41
2009,4.91
2010,5.16
2011,4.7
2012,4.88
2013,3.88
2014,2.69
2015,4.28
2016,3.28
2017,3.97
2018,4.84
2019,4.32
2020,3.63
2021,2.0
2022,5.6
2023,4.12
