date,mean autumn surface temperature
1936,11.62
1937,13.61
1938,15.56
1939,13.47
1940,13.29
1942,12.24
1943,15.49
1944,13.87
1945,13.82
1946,13.99
1947,15.64
1948,15.18
1949,18.21
1950,13.92
1951,14.03
1952,11.91
1953,14.64
1954,13.06
1955,13.41
1956,14.1
1957,13.39
1958,14.19
1959,14.97
1960,13.23
1961,16.85
1962,14.68
1963,14.12
1964,13.8
1965,13.09
1966,15.83
1967,15.32
1968,14.72
1969,15.02
1970,13.75
1971,15.2
1972,12.6
1973,14.31
1974,11.94
1975,14.17
1976,14.71
1977,14.39
1978,13.21
1979,14.12
1980,14.47
1981,14.29
1982,15.45
1983,15.8
1984,13.68
1985,16.39
1986,15.44
1987,14.77
1988,14.55
1989,14.74
1990,14.72
1991,15.5
1992,15.23
1993,13.69
1994,14.94
1995,14.0
1996,13.33
1997,15.88
1998,13.6
1999,15.09
2000,15.47
2001,14.97
2002,14.14
2003,13.98
2004,15.76
2005,15.52
2006,16.04
2007,15.06
2008,13.77
2009,16.55
2010,14.67
2011,17.43
2012,15.15
2013,15.5
2014,16.66
2015,15.32
2016,16.28
2017,15.47
2018,16.47
2019,15.94
2020,15.45
2021,16.07
2022,15.92
2023,17.52
