date,mean winter epilimnion 0-10 m oxygen concentration
1937,10.07
1938,9.8
1939,9.76
1944,8.75
1945,10.13
1946,10.43
1947,10.08
1948,9.09
1949,9.11
1950,9.56
1951,8.73
1952,9.34
1953,9.39
1954,9.06
1955,8.92
1956,9.67
1957,9.79
1958,8.41
1959,9.38
1960,9.03
1961,8.59
1962,7.87
1963,10.84
1964,7.92
1965,8.21
1967,8.34
1968,8.71
1970,8.81
1971,9.7
1973,8.26
1974,8.72
1975,9.45
1976,9.29
1977,8.38
1978,9.51
1979,9.35
1980,9.06
1981,8.85
1982,10.39
1983,9.45
1984,9.51
1985,9.18
1986,9.35
1987,9.56
1988,9.45
1989,9.54
1990,8.45
1991,8.6
1992,9.05
1993,9.09
1994,9.46
1995,9.47
1996,9.31
1997,9.47
1998,9.21
1999,9.06
2000,9.51
2001,9.4
2002,9.05
2003,9.12
2004,8.92
2005,8.91
2006,9.46
2007,9.81
2008,9.62
2009,9.54
2010,8.8
2011,9.9
2012,9.35
2013,10.04
2014,10.06
2015,9.09
2016,9.35
2017,8.99
2018,9.3
2019,9.36
2020,9.99
2021,8.93
2022,9.81
2023,9.28
