date,mean winter epilimnion 0-5 m oxygen concentration
1937,10.04
1938,9.86
1939,9.75
1944,8.57
1945,10.11
1946,10.52
1947,10.2
1948,9.07
1949,9.11
1950,9.55
1951,8.74
1952,9.35
1953,9.4
1954,9.03
1955,8.91
1956,9.63
1957,10.05
1958,8.37
1959,9.49
1960,9.03
1961,8.6
1962,7.86
1963,11.42
1964,7.97
1965,8.23
1967,8.34
1968,8.73
1970,8.86
1971,9.67
1973,8.35
1974,8.76
1975,9.46
1976,9.28
1977,8.38
1978,9.52
1979,9.4
1980,9.07
1981,8.89
1982,10.38
1983,9.42
1984,9.53
1985,9.18
1986,9.38
1987,9.59
1988,9.4
1989,9.54
1990,8.45
1991,8.61
1992,9.05
1993,9.11
1994,9.42
1995,9.47
1996,9.3
1997,9.48
1998,9.21
1999,9.05
2000,9.51
2001,9.41
2002,9.13
2003,9.14
2004,8.93
2005,8.93
2006,9.45
2007,9.8
2008,9.71
2009,9.57
2010,8.83
2011,9.95
2012,9.37
2013,10.06
2014,10.06
2015,9.1
2016,9.37
2017,9.0
2018,9.3
2019,9.36
2020,9.97
2021,8.95
2022,9.81
2023,9.31
