date,mean spring surface oxygen concentration
1937,11.4
1938,12.68
1939,12.03
1940,10.26
1941,11.56
1943,10.84
1944,13.42
1945,12.49
1946,14.19
1947,11.67
1948,13.02
1949,12.78
1950,12.58
1951,11.49
1952,15.49
1953,13.24
1954,11.85
1955,12.44
1956,11.17
1957,13.46
1958,12.06
1959,14.86
1960,12.56
1961,13.33
1962,13.98
1963,15.3
1964,11.11
1965,10.44
1966,13.01
1967,13.62
1968,17.28
1969,11.13
1970,10.63
1971,15.49
1972,11.44
1973,11.74
1974,16.23
1975,11.95
1976,15.48
1977,12.15
1978,12.18
1979,12.06
1980,12.11
1981,15.79
1982,12.12
1983,11.82
1984,12.42
1985,11.34
1986,11.66
1987,11.51
1988,11.97
1989,11.77
1990,12.24
1991,13.83
1992,11.8
1993,12.11
1994,12.88
1995,11.34
1996,11.62
1997,12.92
1998,12.24
1999,13.36
2000,12.01
2001,12.29
2002,12.43
2003,12.65
2004,11.66
2005,13.41
2006,11.55
2007,12.72
2008,11.7
2009,11.2
2010,12.57
2011,12.18
2012,12.7
2013,11.55
2014,12.35
2015,11.82
2016,12.83
2017,12.84
2018,12.06
2019,12.66
2020,12.21
2021,11.13
2022,11.97
2023,11.34
