date,mean autumn bottom oxygen concentration
1936,0.48
1937,0.64
1938,0.39
1939,0.17
1940,0.72
1942,0.16
1943,0.01
1944,0.01
1945,0.06
1946,0.03
1947,0.03
1948,0.32
1949,0.2
1950,0.05
1951,0.19
1952,0.03
1953,0.2
1954,0.14
1955,0.3
1956,0.23
1957,0.32
1958,0.29
1959,0.18
1960,0.24
1961,1.01
1962,0.42
1963,0.65
1964,0.41
1965,0.23
1966,0.42
1967,2.7
1968,1.27
1969,1.49
1970,1.24
1971,0.36
1972,1.08
1973,0.06
1974,1.76
1975,0.73
1976,0.86
1977,1.29
1978,0.75
1979,0.31
1980,1.29
1981,2.05
1982,0.41
1983,0.42
1984,0.37
1985,0.58
1986,0.98
1987,1.66
1988,0.22
1989,0.25
1990,1.05
1991,1.28
1992,1.39
1993,0.98
1994,1.49
1995,1.49
1996,1.05
1997,0.81
1998,1.51
1999,2.51
2000,0.75
2001,0.0
2002,0.41
2003,0.28
2004,0.11
2005,0.19
2006,0.31
2007,0.02
2008,0.2
2009,0.1
2010,0.16
2011,0.0
2012,0.0
2013,0.01
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.1
2021,0.69
2022,0.11
2023,0.03
