date,maximum winter-spring mixing depth with salinity (0.005 kgm-3)
1972,135.0
1973,103.0
1974,135.0
1975,99.0
1976,135.0
1977,99.0
1978,116.0
1979,135.0
1980,135.0
1981,135.0
1982,135.0
1983,93.0
1984,135.0
1985,135.0
1986,135.0
1987,135.0
1988,82.0
1989,68.0
1990,133.0
1991,135.0
1992,115.0
1993,102.0
1994,113.0
1995,77.0
1996,135.0
1997,128.0
1998,67.0
1999,134.0
2000,135.0
2004,69.0
2005,135.0
2006,135.0
2007,51.0
2008,87.0
2009,108.0
2010,114.0
2011,110.0
2012,131.0
2013,97.0
2014,47.0
2015,53.0
2016,50.0
2017,70.0
2018,67.0
2019,69.0
2020,61.0
2021,74.0
2022,75.0
2023,58.0
