date,minimum surface temperature
1937,4.5
1938,3.9
1939,3.9
1944,2.4
1945,2.8
1946,3.4
1947,1.9
1948,4.9
1949,4.0
1950,4.3
1951,4.2
1952,3.1
1953,2.9
1954,2.2
1955,3.7
1956,2.6
1957,3.0
1958,3.8
1959,4.6
1960,4.0
1961,4.9
1962,4.0
1963,3.9
1964,3.1
1965,2.9
1966,4.3
1967,4.5
1968,3.6
1969,4.0
1970,3.5
1971,2.3
1973,4.15
1974,4.5
1975,4.95
1976,4.4
1977,4.4
1978,4.6
1979,4.5
1980,4.4
1981,3.5
1982,3.8
1983,4.65
1984,3.9
1985,3.6
1986,2.95
1987,3.3
1988,4.7
1989,5.0
1990,5.05
1991,4.7
1992,4.2
1993,4.9
1994,5.1
1995,5.2
1996,4.6
1997,4.4
1998,5.1
1999,4.19
2000,4.56
2001,5.5
2002,4.7
2003,5.2
2004,4.0
2005,3.81
2006,3.5
2007,5.7
2008,5.1
2009,4.6
2010,4.4
2011,4.5
2012,4.1
2013,4.4
2014,5.4
2015,5.08
2016,5.44
2017,4.75
2018,5.01
2019,5.0
2020,6.0
2021,5.53
2022,5.52
2023,5.57
