date,mean autumn hypolimnetic density
1972,1000.111
1973,1000.134
1974,1000.1288
1975,1000.1433
1976,1000.1388
1977,1000.1208
1978,1000.1393
1979,1000.1431
1980,1000.1321
1981,1000.1417
1982,1000.1503
1983,1000.1405
1984,1000.1386
1985,1000.1434
1986,1000.1402
1987,1000.1392
1988,1000.1389
1989,1000.1323
1990,1000.1238
1991,1000.1449
1992,1000.1352
1993,1000.1404
1994,1000.131
1995,1000.1211
1996,1000.1393
1997,1000.1348
1998,1000.1321
1999,1000.1556
2000,1000.1515
2004,1000.1477
2005,1000.1453
2006,1000.1481
2007,1000.1186
2008,1000.127
2009,1000.1391
2010,1000.1356
2011,1000.1486
2012,1000.1325
2013,1000.1441
2014,1000.1398
2015,1000.136
2016,1000.1307
2017,1000.1343
2018,1000.1432
2019,1000.1193
2020,1000.113
2021,1000.114
2022,1000.1259
2023,1000.1146
