date,mean autumn epilimnion 0-10 m oxygen concentration
1936,9.79
1937,10.53
1938,10.15
1939,10.34
1940,9.04
1942,9.88
1943,9.35
1944,10.57
1945,10.36
1946,10.17
1947,10.11
1948,10.34
1949,10.43
1950,9.42
1951,9.55
1952,10.11
1953,9.07
1954,10.02
1955,9.63
1956,10.62
1957,9.6
1958,8.98
1959,9.13
1960,9.5
1961,8.8
1962,8.74
1963,9.36
1964,8.54
1965,9.09
1966,7.98
1967,10.1
1968,10.5
1969,8.96
1970,9.52
1971,9.17
1972,9.28
1973,8.06
1974,9.0
1975,9.96
1976,10.33
1977,9.56
1978,9.36
1979,8.36
1980,8.13
1981,9.38
1982,8.96
1983,9.63
1984,9.58
1985,9.42
1986,9.13
1987,9.58
1988,9.73
1989,9.05
1990,9.33
1991,9.0
1992,9.89
1993,8.75
1994,9.43
1995,9.9
1996,9.81
1997,10.14
1998,9.96
1999,9.95
2000,9.56
2001,11.07
2002,9.42
2003,9.78
2004,9.92
2005,9.15
2006,8.78
2007,9.87
2008,10.28
2009,10.38
2010,10.2
2011,10.3
2012,9.87
2013,10.05
2014,9.79
2015,10.59
2016,10.22
2017,10.44
2018,10.6
2019,9.2
2020,9.35
2021,9.75
2022,10.07
2023,9.84
