date,mean summer epilimnion 5-10 m oxygen concentration
1936,11.72
1937,11.7
1938,12.96
1939,12.93
1940,11.77
1941,15.67
1942,9.21
1943,14.18
1944,13.44
1945,12.62
1946,13.36
1947,14.14
1948,11.17
1949,14.51
1950,12.82
1951,10.68
1952,13.44
1953,10.14
1954,11.19
1955,10.74
1956,10.44
1957,11.59
1958,9.07
1959,9.85
1960,8.06
1961,9.27
1962,10.9
1963,9.41
1964,7.13
1965,8.9
1966,8.85
1967,8.82
1968,8.83
1969,9.31
1970,8.97
1971,9.21
1972,7.79
1973,7.48
1974,8.99
1975,9.9
1976,9.25
1977,8.16
1978,8.51
1979,9.33
1980,10.72
1981,9.4
1982,9.82
1983,9.47
1984,9.38
1985,9.3
1986,9.92
1987,9.93
1988,10.52
1989,10.39
1990,10.85
1991,8.24
1992,13.43
1993,10.26
1994,9.16
1995,8.91
1996,9.73
1997,10.14
1998,12.41
1999,10.47
2000,12.03
2001,14.01
2002,11.59
2003,12.0
2004,10.54
2005,9.91
2006,11.6
2007,10.18
2008,12.31
2009,12.38
2010,10.82
2011,10.73
2012,9.48
2013,10.21
2014,11.64
2015,12.32
2016,10.93
2017,12.16
2018,11.64
2019,11.16
2020,11.33
2021,9.92
2022,11.62
2023,11.04
